"n","p","test","R_time","time_median","time_p10","time_p90","mem_median","mcse_time"
200,16,"EF",30,0.00318555000012566,0.0022635700001274,0.00528549999980896,76344,0.000349957285145648
500,16,"EF",30,0.00320735000002515,0.00193331000002672,0.00631820000007793,179688,0.000607181425211972
1000,16,"EF",30,0.00450610000018514,0.00191647000008288,0.00733658999999989,353976,0.000378910936828965
2000,16,"EF",30,0.00471775000016805,0.00230795999998463,0.0065491200001361,702552,0.00221134911960026
5000,16,"EF",30,0.0050989000002346,0.00282987000032335,0.00701494000020375,1822008,0.00054933528402173
10000,16,"EF",30,0.00833890000012616,0.00381636999993589,0.0151505000001407,3638616,0.00430386288895884
20000,16,"EF",30,0.0117513000000144,0.00597066000009363,0.0202118700002075,7271832,0.00087864743897173
50000,16,"EF",10,0.0149074500001234,0.0134988700001714,0.0179640200001359,17778264,0.000660840634087867
200,32,"EF",30,0.00362140000015643,0.00206784000017706,0.0052445100000341,109400,0.000240178895625999
500,32,"EF",30,0.00362870000014937,0.00252690000015718,0.0044114500002479,251144,0.000326509648461047
1000,32,"EF",30,0.00447405000011259,0.00240737999997691,0.00684136000011222,489432,0.00048516206203748
2000,32,"EF",30,0.0057673500001556,0.00255322000007255,0.00851741000024049,966008,0.000368332280669414
5000,32,"EF",30,0.00638015000026826,0.00334650000013426,0.0105632900000501,2469464,0.000641449716868275
10000,32,"EF",30,0.00818745000015042,0.00439947000024858,0.011566940000148,4926072,0.000759603839742123
20000,32,"EF",30,0.0121987000001127,0.00800986999997804,0.0173966000001428,9839288,0.000663859716516714
50000,32,"EF",10,0.0318517000001748,0.0173350600000731,0.0412478700002566,24185720,0.00436330679743938
200,4,"glm_fit",30,0.00244410000004791,0.00199577000014415,0.00306755000028716,422040,9.60219609380288e-05
500,4,"glm_fit",30,0.00292195000020001,0.00203312000032838,0.00337444000001597,1027688,0.000107894889325047
1000,4,"glm_fit",30,0.00498450000009143,0.0032795200000919,0.00615276000007725,2037784,0.000222387333464525
2000,4,"glm_fit",30,0.00797685000009096,0.00506496000018614,0.0118752600001926,4057976,0.000502749159352642
5000,4,"glm_fit",30,0.0149489000002631,0.0105612000002566,0.0196402500002023,10143128,0.00071119825828733
10000,4,"glm_fit",30,0.0261109500000885,0.0192633200000728,0.0345800000001873,16545760,0.00108650045997105
20000,4,"glm_fit",30,0.0524596500001735,0.0336778500001173,0.0649845900000401,33076832,0.00358258334797293
50000,4,"glm_fit",10,0.0865930500000331,0.0817435200003046,0.0934930200000963,82538976,0.00199258088016201
200,8,"glm_fit",30,0.00303764999989653,0.00229988000016875,0.00333329000013691,509456,0.000101290540955399
500,8,"glm_fit",30,0.00355685000010908,0.0024522000000843,0.00453986000018176,1239904,0.000171250225700698
1000,8,"glm_fit",30,0.00533330000007482,0.00343680000009954,0.00756990000006681,2458000,0.000305412278594108
2000,8,"glm_fit",30,0.0103217000000768,0.00637515000012172,0.013154869999994,4894192,0.000499067804357248
5000,8,"glm_fit",30,0.0178399000000126,0.0108188000002884,0.0278834599999527,12227344,0.00125299625822154
10000,8,"glm_fit",30,0.0296847000000753,0.0237016600001425,0.037936910000144,20069792,0.000994280209848169
20000,8,"glm_fit",30,0.0597971500001222,0.0463197400000354,0.0706057800002099,40120864,0.00207642297634322
50000,8,"glm_fit",10,0.12102734999985,0.101934920000099,0.176146160000121,100143008,0.011514642932711
200,16,"glm_fit",30,0.00399125000012645,0.00333010000022114,0.0044291300001305,689328,9.35352195212034e-05
500,16,"glm_fit",30,0.00490565000018251,0.00356700000015735,0.00618912000009004,1669376,0.00024086167678385
1000,16,"glm_fit",30,0.00798705000011068,0.00516800999996576,0.00927348000013808,3303472,0.000308919761758603
2000,16,"glm_fit",30,0.0145385000000715,0.00867053999995732,0.0205058100001224,6571664,0.0010366381831362
5000,16,"glm_fit",30,0.0232276500001945,0.0165454400001181,0.0280128900001728,16400816,0.000892738494424565
10000,16,"glm_fit",30,0.0490125500001568,0.033905569999979,0.0638577499998973,27123136,0.00226509595328805
20000,16,"glm_fit",30,0.0848003500002505,0.0577366800002209,0.124543950000134,54214208,0.0055801465862542
50000,16,"glm_fit",10,0.182842650000226,0.147791580000103,0.202456509999888,135356352,0.00819111705973116
200,32,"glm_fit",30,0.00544034999995801,0.00425415000011071,0.0073715800001537,1256488,0.000231677113814889
500,32,"glm_fit",30,0.00886310000009871,0.00597806000025684,0.0119879400001537,2567048,0.000439537688959741
1000,32,"glm_fit",30,0.0137130500000921,0.00857034000018757,0.0170315900001014,5033144,0.000615039142894687
2000,32,"glm_fit",30,0.0216870000001564,0.0148801500001354,0.0258718200002477,9965336,0.000809622705369497
5000,32,"glm_fit",30,0.0460519000000659,0.0312950700000101,0.0615677300002744,24786488,0.004176894752986
10000,32,"glm_fit",30,0.0774740500000917,0.058189599999946,0.106887890000212,41267336,0.0059717415646478
20000,32,"glm_fit",30,0.126128050000034,0.0942706899998939,0.174195980000149,82438408,0.00535669227257094
50000,32,"glm_fit",10,0.294339450000166,0.236563889999752,0.409934250000219,205820552,0.0252317613083299
200,4,"HL",30,0.0023500500000182,0.0019430500000226,0.0025744200001327,43472,8.4868874206905e-05
500,4,"HL",30,0.00272870000014791,0.0020684300000994,0.00407603000016934,105600,0.000323218085048993
1000,4,"HL",30,0.00438680000002023,0.00232803000010335,0.00667493000028116,207696,0.000305398762568534
2000,4,"HL",30,0.00612190000003921,0.00391611000009107,0.0125248300000976,411888,0.000689451509199388
5000,4,"HL",30,0.00994840000021213,0.00696958000003178,0.0139742100001286,1049040,0.000526460178406115
10000,4,"HL",30,0.0169841500002121,0.0127575700003263,0.0237452000000531,2094576,0.000776610023224752
20000,4,"HL",30,0.0336615000001075,0.0242031200001066,0.039714830000139,4185648,0.00102680843309774
50000,4,"HL",10,0.0619260000001986,0.0589471700003287,0.0637532900002043,10327792,0.000855075562350313
200,8,"HL",30,0.00258990000008907,0.00216522000016539,0.0055441800001745,50144,0.00042773100397713
500,8,"HL",30,0.00296240000011494,0.00205147000003762,0.00422536000007767,121872,0.000147615109162477
1000,8,"HL",30,0.00438415000007808,0.00241677000014988,0.00723679000011544,239968,0.000545338962057699
2000,8,"HL",30,0.00675520000015695,0.00377406000000065,0.00975219000010839,476160,0.000676242621024717
5000,8,"HL",30,0.0100375500002201,0.00692724999987604,0.0116450600002509,1209312,0.000576885314461436
10000,8,"HL",30,0.0179898500001627,0.0132405700000163,0.0205929500001503,2414848,0.000572272560155094
20000,8,"HL",30,0.0352614499998936,0.0244258900000659,0.0454525200000489,4825920,0.00131211326188486
50000,8,"HL",10,0.0629387000001315,0.0587494700001798,0.0682587800000419,11928064,0.00135057802246327
200,16,"HL",30,0.00275325000018256,0.00234908000020368,0.00339842000023509,64048,0.000202873114197476
500,16,"HL",30,0.00310190000004695,0.00206718000015371,0.0037955600001851,154976,0.000185181681630187
1000,16,"HL",30,0.0050000999999611,0.00250117000007321,0.00819476000015129,305072,0.000555642118810337
2000,16,"HL",30,0.00737720000017816,0.00352128000004086,0.00857733000020744,605264,0.000656159349003616
5000,16,"HL",30,0.0105674500001669,0.00731716000022971,0.0126901100001987,1530416,0.000350570949847043
10000,16,"HL",30,0.0188908500001616,0.013253779999809,0.0215053700001818,3055952,0.000618328227826842
20000,16,"HL",30,0.0343289500001447,0.025557690000096,0.0399393500001451,6107024,0.00101795533088043
50000,16,"HL",10,0.0645028500002809,0.0629382100002431,0.0697085900001184,15129168,0.00153689538890534
