"family","n","G","test","alpha","null_size","mcse","size_ok"
"rough",500,10,"HL",0.01,0.01,0.00099498743710662,TRUE
"rough",500,10,"HL",0.05,0.0493,0.00216493671962947,TRUE
"rough",500,10,"HL",0.1,0.0998,0.00299733147983335,TRUE
"rough",500,10,"HL-equalwidth",0.01,0.0106,0.00102409179276079,TRUE
"rough",500,10,"HL-equalwidth",0.05,0.0498,0.00217531514958178,TRUE
"rough",500,10,"HL-equalwidth",0.1,0.0994,0.00299198328872338,TRUE
"rough",500,10,"Pigeon-Heyse",0.01,0.0059,0.000765845284636525,FALSE
"rough",500,10,"Pigeon-Heyse",0.05,0.031,0.0017331762749357,FALSE
"rough",500,10,"Pigeon-Heyse",0.1,0.066,0.00248282097622845,FALSE
"rough",500,10,"Stukel",0.01,0.0241,0.00153359675273522,FALSE
"rough",500,10,"Stukel",0.05,0.0694,0.00254133114725334,FALSE
"rough",500,10,"Stukel",0.1,0.1156,0.00319744648117838,FALSE
"rough",500,10,"Tsiatis",0.01,0.0094,0.000964968393264774,TRUE
"rough",500,10,"Tsiatis",0.05,0.049,0.0021586801523153,TRUE
"rough",500,10,"Tsiatis",0.1,0.1024,0.00303173613627571,TRUE
"rough",500,10,"Xie",0.01,0.0053,0.000726079196782279,FALSE
"rough",500,10,"Xie",0.05,0.0386,0.00192639663620969,FALSE
"rough",500,10,"Xie",0.1,0.084,0.00277387815161373,FALSE
"quad",1000,10,"DEF.poly2",0.01,0.0081,0.000896347588829244,TRUE
"quad",1000,10,"DEF.poly2",0.05,0.0522,0.00222430123859157,TRUE
"quad",1000,10,"DEF.poly2",0.1,0.1026,0.00303435726307895,TRUE
"quad",1000,10,"DEF.poly3",0.01,0.0112,0.00105235735375394,TRUE
"quad",1000,10,"DEF.poly3",0.05,0.0501,0.00218151300706643,TRUE
"quad",1000,10,"DEF.poly3",0.1,0.1027,0.00303566648365725,TRUE
"quad",1000,10,"DEF.stukel",0.01,0.0133,0.00114556143440673,FALSE
"quad",1000,10,"DEF.stukel",0.05,0.0486,0.00215030323442997,TRUE
"quad",1000,10,"DEF.stukel",0.1,0.1022,0.00302911142086256,TRUE
"quad",1000,10,"EF",0.01,0.0116,0.00107076794871718,TRUE
"quad",1000,10,"EF",0.05,0.0525,0.00223033069296909,TRUE
"quad",1000,10,"EF",0.1,0.1071,0.00309240343422394,TRUE
"quad",1000,10,"HL",0.01,0.0117,0.00107531902243009,TRUE
"quad",1000,10,"HL",0.05,0.0526,0.00223233599621562,TRUE
"quad",1000,10,"HL",0.1,0.1062,0.00308093427388511,TRUE
