"n","p","test","rep","seed","time_sec","mem_bytes","glm_iter","refit_iter","refit_converged","n_events","event_rate"
200,4,"Stukel",1,20360707,0.00183080000033442,72184,4,5,1,91,0.455
200,4,"Stukel",2,20360708,0.00150580000013179,72184,4,5,1,96,0.48
200,4,"Stukel",3,20360709,0.00169940000000679,72184,4,5,1,104,0.52
200,4,"Stukel",4,20360710,0.00221150000015768,72184,4,5,1,103,0.515
200,4,"Stukel",5,20360711,0.00164890000019113,72184,4,5,1,90,0.45
200,4,"Stukel",6,20360712,0.00179090000005999,72184,4,5,1,88,0.44
200,4,"Stukel",7,20360713,0.0022550000001047,72184,4,5,1,104,0.52
200,4,"Stukel",8,20360714,0.00233280000020386,72184,4,5,1,90,0.45
200,4,"Stukel",9,20360715,0.00581780000015897,72184,4,5,1,96,0.48
200,4,"Stukel",10,20360716,0.00158360000023094,72184,4,5,1,101,0.505
200,4,"Stukel",11,20360717,0.00106360000017958,72184,4,5,1,113,0.565
200,4,"Stukel",12,20360718,0.00201510000010785,72184,4,5,1,112,0.56
200,4,"Stukel",13,20360719,0.00159650000023248,72184,4,5,1,110,0.55
200,4,"Stukel",14,20360720,0.00208880000013778,72184,4,5,1,102,0.51
200,4,"Stukel",15,20360721,0.00191240000026482,72184,4,5,1,96,0.48
200,4,"Stukel",16,20360722,0.00183940000010807,72184,4,5,1,94,0.47
200,4,"Stukel",17,20360723,0.00186120000012124,72184,4,5,1,108,0.54
200,4,"Stukel",18,20360724,0.00196370000026036,72184,4,5,1,91,0.455
200,4,"Stukel",19,20360725,0.00300020000008772,72184,4,5,1,109,0.545
200,4,"Stukel",20,20360726,0.00260380000008809,72184,4,5,1,96,0.48
200,4,"Stukel",21,20360727,0.00263550000022406,72184,4,5,1,107,0.535
200,4,"Stukel",22,20360728,0.00257610000016939,72184,4,5,1,111,0.555
200,4,"Stukel",23,20360729,0.00194730000021082,72184,4,5,1,102,0.51
200,4,"Stukel",24,20360730,0.00364340000010088,72184,4,5,1,102,0.51
200,4,"Stukel",25,20360731,0.00182670000003782,72184,4,5,1,113,0.565
200,4,"Stukel",26,20360732,0.00156980000019757,72184,4,5,1,86,0.43
200,4,"Stukel",27,20360733,0.00425840000002609,72184,3,5,1,107,0.535
200,4,"Stukel",28,20360734,0.00249430000008033,72184,4,5,1,95,0.475
200,4,"Stukel",29,20360735,0.0018340999999964,72184,4,5,1,94,0.47
200,4,"Stukel",30,20360736,0.00161430000002838,72184,3,5,1,108,0.54
200,4,"Tsiatis",1,20360707,0.0131264000001465,189216,4,NA,NA,91,0.455
200,4,"Tsiatis",2,20360708,0.00266200000010031,189216,4,NA,NA,96,0.48
200,4,"Tsiatis",3,20360709,0.00345310000011523,189216,4,NA,NA,104,0.52
200,4,"Tsiatis",4,20360710,0.00936260000025868,189216,4,NA,NA,103,0.515
200,4,"Tsiatis",5,20360711,0.00347209999995357,189216,4,NA,NA,90,0.45
200,4,"Tsiatis",6,20360712,0.0032389000002695,189216,4,NA,NA,88,0.44
200,4,"Tsiatis",7,20360713,0.00363970000034897,189216,4,NA,NA,104,0.52
200,4,"Tsiatis",8,20360714,0.00350019999996221,189216,4,NA,NA,90,0.45
200,4,"Tsiatis",9,20360715,0.00343110000017077,189216,4,NA,NA,96,0.48
200,4,"Tsiatis",10,20360716,0.00371260000019902,189216,4,NA,NA,101,0.505
200,4,"Tsiatis",11,20360717,0.00272840000002361,189216,4,NA,NA,113,0.565
200,4,"Tsiatis",12,20360718,0.00495870000008836,189216,4,NA,NA,112,0.56
200,4,"Tsiatis",13,20360719,0.00337839999997414,189216,4,NA,NA,110,0.55
200,4,"Tsiatis",14,20360720,0.00371040000004541,189216,4,NA,NA,102,0.51
200,4,"Tsiatis",15,20360721,0.00367500000015752,189216,4,NA,NA,96,0.48
200,4,"Tsiatis",16,20360722,0.00308430000018234,189216,4,NA,NA,94,0.47
200,4,"Tsiatis",17,20360723,0.00334220000013374,189216,4,NA,NA,108,0.54
200,4,"Tsiatis",18,20360724,0.00338050000004841,189216,4,NA,NA,91,0.455
200,4,"Tsiatis",19,20360725,0.00330700000017714,189216,4,NA,NA,109,0.545
200,4,"Tsiatis",20,20360726,0.00341400000024805,189216,4,NA,NA,96,0.48
200,4,"Tsiatis",21,20360727,0.00298160000011194,189216,4,NA,NA,107,0.535
200,4,"Tsiatis",22,20360728,0.00367540000002009,189216,4,NA,NA,111,0.555
200,4,"Tsiatis",23,20360729,0.00364330000024893,189216,4,NA,NA,102,0.51
200,4,"Tsiatis",24,20360730,0.00718740000024809,189216,4,NA,NA,102,0.51
200,4,"Tsiatis",25,20360731,0.00384920000010425,189216,4,NA,NA,113,0.565
200,4,"Tsiatis",26,20360732,0.00218640000025516,189216,4,NA,NA,86,0.43
200,4,"Tsiatis",27,20360733,0.00433390000034706,189216,3,NA,NA,107,0.535
200,4,"Tsiatis",28,20360734,0.00334560000010242,189216,4,NA,NA,95,0.475
200,4,"Tsiatis",29,20360735,0.00337280000007922,189216,4,NA,NA,94,0.47
200,4,"Tsiatis",30,20360736,0.00265980000017407,189216,3,NA,NA,108,0.54
200,4,"Xie",1,20360707,0.00750540000012734,417464,4,NA,NA,91,0.455
200,4,"Xie",2,20360708,0.00689520000014454,417256,4,NA,NA,96,0.48
