"spectrum","min_over_max","k_df","S","p_imhof","p_satter","abs_delta_p","tail"
"one_df",1,1,0.454936423119573,0.499988746155936,0.5,1.12538440636967e-05,FALSE
"one_df",1,1,1.64237441514982,0.200017064900359,0.2,1.70649003588541e-05,FALSE
"one_df",1,1,2.70554345409542,0.0999852104111633,0.1,1.47895888368416e-05,FALSE
"one_df",1,1,3.84145882069412,0.0500043073596385,0.05,4.30735963848072e-06,TRUE
"one_df",1,1,5.41189443105434,0.0199731443498893,0.02,2.68556501106694e-05,TRUE
"one_df",1,1,6.63489660102121,0.00999245389333975,0.01,7.546106660275e-06,TRUE
"one_df",1,1,7.87943857662241,0.00500984496499335,0.005,9.84496499335189e-06,TRUE
"one_df",1,1,9.54953570608324,0.00224960255984391,0.002,0.000249602559843908,TRUE
"one_df",1,1,10.8275661706627,0.00103403967035515,0.001,3.40396703551453e-05,TRUE
"one_df",1,1,12.1156651463974,0.000554727377879038,0.000499999999999944,5.4727377879095e-05,TRUE
"one_df",1,1,15.1367052266236,5.48563570436089e-05,9.99999999999892e-05,4.51436429563803e-05,TRUE
