"n","m","G","scen","test","B","size","power_adj","na_null"
5000,200,25,"probit","EDGE.stk",2000,0.049,0.2475,0
5000,200,25,"probit","HL_F",2000,0.04,0.1115,0
5000,200,25,"probit","HL",2000,0.0395,0.098,0
5000,200,25,"probit","HL_w",2000,0.0395,0.1055,0
5000,200,25,"probit","Stukel",2000,0.053,0.2365,0
5000,200,25,"probit","GiViTI",2000,0.0495,0.116,0
20000,15,400,"cloglog","EDGE.poly2",800,0.03375,1,0
20000,15,400,"cloglog","EDGE.poly3",800,0.03375,1,0
20000,15,400,"cloglog","EDGE.stk",800,0.035,1,0
20000,15,400,"cloglog","HL_F",800,0.05125,1,0
20000,15,400,"cloglog","HL",800,0.05,0.99125,0
20000,15,400,"cloglog","HL_w",800,0.0475,1,0
20000,15,400,"cloglog","Stukel",800,0.035,1,0
20000,15,400,"cloglog","GiViTI",800,0.0375,1,0
20000,15,400,"probit","EDGE.poly2",800,0.03375,0.275,0
20000,15,400,"probit","EDGE.poly3",800,0.03375,0.85,0
20000,15,400,"probit","EDGE.stk",800,0.035,0.87375,0
20000,15,400,"probit","HL_F",800,0.05125,0.0825,0
20000,15,400,"probit","HL",800,0.05,0.04125,0
20000,15,400,"probit","HL_w",800,0.0475,0.09125,0
20000,15,400,"probit","Stukel",800,0.035,0.8625,0
20000,15,400,"probit","GiViTI",800,0.0375,0.57625,0
20000,25,400,"cloglog","EDGE.poly2",800,0.05375,1,0
20000,25,400,"cloglog","EDGE.poly3",800,0.05875,1,0
20000,25,400,"cloglog","EDGE.stk",800,0.0475,1,0
20000,25,400,"cloglog","HL_F",800,0.05375,1,0
20000,25,400,"cloglog","HL",800,0.05375,0.99125,0
20000,25,400,"cloglog","HL_w",800,0.0525,1,0
20000,25,400,"cloglog","Stukel",800,0.05875,1,0
20000,25,400,"cloglog","GiViTI",800,0.0525,1,0
20000,25,400,"probit","EDGE.poly2",800,0.05375,0.2,0
20000,25,400,"probit","EDGE.poly3",800,0.05875,0.75625,0
20000,25,400,"probit","EDGE.stk",800,0.0475,0.83125,0
20000,25,400,"probit","HL_F",800,0.05375,0.08125,0
20000,25,400,"probit","HL",800,0.05375,0.05,0
20000,25,400,"probit","HL_w",800,0.0525,0.075,0
20000,25,400,"probit","Stukel",800,0.05875,0.77375,0
20000,25,400,"probit","GiViTI",800,0.0525,0.51,0
20000,50,400,"cloglog","EDGE.poly2",800,0.0625,1,0
20000,50,400,"cloglog","EDGE.poly3",800,0.055,1,0
20000,50,400,"cloglog","EDGE.stk",800,0.04625,1,0
20000,50,400,"cloglog","HL_F",800,0.04,1,0
20000,50,400,"cloglog","HL",800,0.04125,0.9925,0
20000,50,400,"cloglog","HL_w",800,0.04375,1,0
20000,50,400,"cloglog","Stukel",800,0.0525,1,0
20000,50,400,"cloglog","GiViTI",800,0.06375,1,0
20000,50,400,"probit","EDGE.poly2",800,0.0625,0.21875,0
20000,50,400,"probit","EDGE.poly3",800,0.055,0.8375,0
20000,50,400,"probit","EDGE.stk",800,0.04625,0.8775,0
20000,50,400,"probit","HL_F",800,0.04,0.1125,0
20000,50,400,"probit","HL",800,0.04125,0.0525,0
20000,50,400,"probit","HL_w",800,0.04375,0.10375,0
20000,50,400,"probit","Stukel",800,0.0525,0.855,0
20000,50,400,"probit","GiViTI",800,0.06375,0.54625,0
20000,100,200,"cloglog","EDGE.poly2",800,0.06,1,0
20000,100,200,"cloglog","EDGE.poly3",800,0.05625,1,0
20000,100,200,"cloglog","EDGE.stk",800,0.04875,1,0
20000,100,200,"cloglog","HL_F",800,0.04625,1,0
20000,100,200,"cloglog","HL",800,0.04875,1,0
20000,100,200,"cloglog","HL_w",800,0.065,1,0
20000,100,200,"cloglog","Stukel",800,0.05125,1,0
20000,100,200,"cloglog","GiViTI",800,0.06125,1,0
20000,100,200,"probit","EDGE.poly2",800,0.06,0.18875,0
20000,100,200,"probit","EDGE.poly3",800,0.05625,0.79125,0
20000,100,200,"probit","EDGE.stk",800,0.04875,0.85625,0
20000,100,200,"probit","HL_F",800,0.04625,0.115,0
20000,100,200,"probit","HL",800,0.04875,0.07625,0
20000,100,200,"probit","HL_w",800,0.065,0.125,0
20000,100,200,"probit","Stukel",800,0.05125,0.81875,0
20000,100,200,"probit","GiViTI",800,0.06125,0.5325,0
20000,200,100,"cloglog","EDGE.poly2",800,0.06625,1,0
20000,200,100,"cloglog","EDGE.poly3",800,0.07125,1,0
20000,200,100,"cloglog","EDGE.stk",800,0.06375,1,0
20000,200,100,"cloglog","HL_F",800,0.0375,1,0
20000,200,100,"cloglog","HL",800,0.0375,1,0
20000,200,100,"cloglog","HL_w",800,0.0475,1,0
20000,200,100,"cloglog","Stukel",800,0.06875,1,0
20000,200,100,"cloglog","GiViTI",800,0.06875,1,0
20000,200,100,"probit","EDGE.poly2",800,0.06625,0.16875,0
20000,200,100,"probit","EDGE.poly3",800,0.07125,0.7975,0
20000,200,100,"probit","EDGE.stk",800,0.06375,0.8475,0
20000,200,100,"probit","HL_F",800,0.0375,0.2025,0
20000,200,100,"probit","HL",800,0.0375,0.155,0
20000,200,100,"probit","HL_w",800,0.0475,0.1875,0
20000,200,100,"probit","Stukel",800,0.06875,0.81,0
20000,200,100,"probit","GiViTI",800,0.06875,0.51625,0
