"family","param","n","G","alpha","test","reject_rate","power_size_adj","size_at_cell","B","mcse"
"quad","0.4",200,10,0.05,"Pigeon-Heyse",0.9975,0.9983,0.0289,10000,0.000499374608885949
"quad","0.4",200,10,0.1,"Pigeon-Heyse",0.9985,0.999,0.0622,10000,0.00038700775186034
"quad","0.4",200,10,0.01,"Stukel",0.998728470697029,0.997225754248064,0.0247,10000,0.000356358319139949
"quad","0.4",200,10,0.05,"Stukel",0.999653219281008,0.999422032135013,0.0699,10000,0.000186188201056086
"quad","0.4",200,10,0.1,"Stukel",0.999653219281008,0.999653219281008,0.1161,10000,0.000186188201056086
"quad","0.4",200,10,0.01,"Tsiatis",0.9935,0.9937,0.009,10000,0.000803601269287198
"quad","0.4",200,10,0.05,"Tsiatis",0.9978,0.9979,0.0453,10000,0.00046852534616603
"quad","0.4",200,10,0.1,"Tsiatis",0.9987,0.9987,0.0955,10000,0.00036032069049667
"quad","0.4",200,10,0.01,"Xie",0.9937,0.9953,0.0058,10000,0.000791221208006963
"quad","0.4",200,10,0.05,"Xie",0.9983,0.999,0.0363,10000,0.000411959949509662
"quad","0.4",200,10,0.1,"Xie",0.9991,0.9991,0.0758,10000,0.000299864969611326
"quad","0.01",500,10,0.01,"DEF.poly2",0.0172,0.0144,0.0091,5000,0.00183870389133215
"quad","0.01",500,10,0.05,"DEF.poly2",0.0718,0.055,0.0525,5000,0.00365088372863338
"quad","0.01",500,10,0.1,"DEF.poly2",0.1314,0.118,0.0975,5000,0.00477774088874648
"quad","0.01",500,10,0.01,"DEF.poly3",0.0154,0.0152,0.0084,5000,0.00174142700105402
"quad","0.01",500,10,0.05,"DEF.poly3",0.0652,0.0604,0.0481,5000,0.00349138826256834
"quad","0.01",500,10,0.1,"DEF.poly3",0.1232,0.1098,0.1017,5000,0.00464804819252124
"quad","0.01",500,10,0.01,"DEF.stukel",0.0316,0.0354,0.0099,5000,0.00247392158323581
"quad","0.01",500,10,0.05,"DEF.stukel",0.0766,0.0906,0.0466,5000,0.00376118172919097
"quad","0.01",500,10,0.1,"DEF.stukel",0.127,0.1474,0.0959,5000,0.00470894892730851
"quad","0.01",500,10,0.01,"EF",0.014,0.0144,0.0096,5000,0.00166156552684509
"quad","0.01",500,10,0.05,"EF",0.0558,0.0568,0.0481,5000,0.00324611644892786
"quad","0.01",500,10,0.1,"EF",0.1074,0.1076,0.0996,5000,0.00437870391782774
"quad","0.01",500,10,0.01,"HL",0.0234,0.024,0.0098,5000,0.00213786996798215
"quad","0.01",500,10,0.05,"HL",0.0728,0.0758,0.0476,5000,0.00367423896882062
"quad","0.01",500,10,0.1,"HL",0.1326,0.1324,0.1003,5000,0.00479619098869092
"quad","0.01",500,10,0.01,"HL-equalwidth",0.0082,0.0278,0.0093,5000,0.00127536347760158
"quad","0.01",500,10,0.05,"HL-equalwidth",0.044,0.1174,0.0499,5000,0.00290048271844533
"quad","0.01",500,10,0.1,"HL-equalwidth",0.0944,0.2106,0.1015,5000,0.00413493990282809
"quad","0.01",500,10,0.01,"Pigeon-Heyse",0.016,0.0242,0.0055,5000,0.00177448584102551
"quad","0.01",500,10,0.05,"Pigeon-Heyse",0.0514,0.0762,0.0286,5000,0.00312275647465504
"quad","0.01",500,10,0.1,"Pigeon-Heyse",0.0928,0.134,0.0633,5000,0.0041033683724472
"quad","0.01",500,10,0.01,"Stukel",0.0368,0.0194,0.0227,5000,0.00266254614983478
"quad","0.01",500,10,0.05,"Stukel",0.0958,0.071,0.07,5000,0.00416226765117286
"quad","0.01",500,10,0.1,"Stukel",0.1522,0.1362,0.1138,5000,0.00508006220434357
"quad","0.01",500,10,0.01,"Tsiatis",0.0266,0.028,0.0083,5000,0.00227562914377541
"quad","0.01",500,10,0.05,"Tsiatis",0.0734,0.0748,0.049,5000,0.00368815509435273
"quad","0.01",500,10,0.1,"Tsiatis",0.1284,0.1312,0.0967,5000,0.00473103455916357
"quad","0.01",500,10,0.01,"Xie",0.0198,0.0278,0.0061,5000,0.00197017562668915
"quad","0.01",500,10,0.05,"Xie",0.067,0.0796,0.0389,5000,0.00353584501922808
"quad","0.01",500,10,0.1,"Xie",0.1086,0.1296,0.0809,5000,0.004400137270586
"quad","0.02",500,10,0.01,"DEF.poly2",0.184,0.1694,0.0091,5000,0.00547985401265399
"quad","0.02",500,10,0.05,"DEF.poly2",0.3642,0.3284,0.0525,5000,0.00680526795945611
"quad","0.02",500,10,0.1,"DEF.poly2",0.48,0.4602,0.0975,5000,0.00706540869306228
"quad","0.02",500,10,0.01,"DEF.poly3",0.1356,0.1332,0.0084,5000,0.00484174844451878
"quad","0.02",500,10,0.05,"DEF.poly3",0.2972,0.2856,0.0481,5000,0.0064633143200683
"quad","0.02",500,10,0.1,"DEF.poly3",0.4084,0.3846,0.1017,5000,0.00695139468020627
"quad","0.02",500,10,0.01,"DEF.stukel",0.1896,0.1978,0.0099,5000,0.00554349781275324
"quad","0.02",500,10,0.05,"DEF.stukel",0.3256,0.3474,0.0466,5000,0.00662698483474951
"quad","0.02",500,10,0.1,"DEF.stukel",0.419,0.441,0.0959,5000,0.00697766436567423
"quad","0.02",500,10,0.01,"EF",0.067,0.0678,0.0096,5000,0.00353584501922808
"quad","0.02",500,10,0.05,"EF",0.1702,0.1728,0.0481,5000,0.00531473348344016
"quad","0.02",500,10,0.1,"EF",0.2432,0.244,0.0996,5000,0.00606718649787527
"quad","0.02",500,10,0.01,"HL",0.132,0.1338,0.0098,5000,0.00478698234799336
"quad","0.02",500,10,0.05,"HL",0.2472,0.2516,0.0476,5000,0.00610069110839092
"quad","0.02",500,10,0.1,"HL",0.3488,0.348,0.1003,5000,0.00674000830860022
"quad","0.02",500,10,0.01,"HL-equalwidth",0.0286,0.0672,0.0093,5000,0.0023572034277932
"quad","0.02",500,10,0.05,"HL-equalwidth",0.1102,0.2036,0.0499,5000,0.00442845255139987
"quad","0.02",500,10,0.1,"HL-equalwidth",0.1908,0.3248,0.1015,5000,0.0055568940965255
"quad","0.02",500,10,0.01,"Pigeon-Heyse",0.1026,0.1346,0.0055,5000,0.00429122919453156
"quad","0.02",500,10,0.05,"Pigeon-Heyse",0.2056,0.2544,0.0286,5000,0.00571539394967661
"quad","0.02",500,10,0.1,"Pigeon-Heyse",0.2848,0.3496,0.0633,5000,0.00638261639141818
"quad","0.02",500,10,0.01,"Stukel",0.2802,0.2136,0.0227,5000,0.00635118823528322
"quad","0.02",500,10,0.05,"Stukel",0.4298,0.375,0.07,5000,0.00700102792452651
"quad","0.02",500,10,0.1,"Stukel",0.5248,0.499,0.1138,5000,0.00706236447657582
"quad","0.02",500,10,0.01,"Tsiatis",0.1228,0.1306,0.0083,5000,0.00464155491188029
"quad","0.02",500,10,0.05,"Tsiatis",0.254,0.2568,0.049,5000,0.00615603768669426
"quad","0.02",500,10,0.1,"Tsiatis",0.352,0.356,0.0967,5000,0.00675419869414574
"quad","0.02",500,10,0.01,"Xie",0.1138,0.1376,0.0061,5000,0.00449109251741711
"quad","0.02",500,10,0.05,"Xie",0.2366,0.265,0.0389,5000,0.00601033177120864
"quad","0.02",500,10,0.1,"Xie",0.3288,0.3632,0.0809,5000,0.00664365200774393
"quad","0.03",500,10,0.01,"DEF.poly2",0.4202,0.3936,0.0091,5000,0.00698042921316447
"quad","0.03",500,10,0.05,"DEF.poly2",0.6312,0.5946,0.0525,5000,0.00682329187416162
"quad","0.03",500,10,0.1,"DEF.poly2",0.7276,0.7138,0.0975,5000,0.00629600254129555
