"scenario","shape","n","G","alpha","test","reject_rate","mcse","B","A_delta","mcse_diff_vs_HL","mcse_diff_vs_EF"
"sawtooth","sawtooth",1000,10,0.1,"Pigeon-Heyse",0.9632,0.00266254614983478,5000,0.0460999773624466,0.00163707055437449,0.00162480768092719
"sawtooth","sawtooth",1000,10,0.01,"Stukel",0.0256,0.00223359083092674,5000,0.0460999773624466,0.0129722781345452,0.01295839496234
"sawtooth","sawtooth",1000,10,0.05,"Stukel",0.0812,0.00386281141139456,5000,0.0460999773624466,0.0132060592153753,0.0132030299552792
"sawtooth","sawtooth",1000,10,0.1,"Stukel",0.133,0.00480231194322068,5000,0.0460999773624466,0.0130046145656071,0.013
"sawtooth","sawtooth",1000,10,0.01,"Tsiatis",0.8632,0.00485974814162216,5000,0.0460999773624466,0.00615467302137165,0.0061708994482166
"sawtooth","sawtooth",1000,10,0.05,"Tsiatis",0.9482,0.0031342227106573,5000,0.0460999773624466,0.00395474398665704,0.0039446165846632
"sawtooth","sawtooth",1000,10,0.1,"Tsiatis",0.971,0.00237314137800511,5000,0.0460999773624466,0.00303315017762062,0.00302654919008431
"sawtooth","sawtooth",1000,10,0.01,"Xie",0.8632,0.00485974814162216,5000,0.0460999773624466,0.00558211429478114,0.00559285258164382
"sawtooth","sawtooth",1000,10,0.05,"Xie",0.9508,0.00305873699425106,5000,0.0460999773624466,0.00376297754444536,0.00376297754444536
"sawtooth","sawtooth",1000,10,0.1,"Xie",0.973,0.00229220417938717,5000,0.0460999773624466,0.0027712812921102,0.00277848879788996
"sawtooth","sawtooth",2000,10,0.01,"DEF.poly2",0.0118,0.00152713850059515,5000,0.0460999773624466,0.0140370937162933,0.0140370937162933
"sawtooth","sawtooth",2000,10,0.05,"DEF.poly2",0.0552,0.0032296427046966,5000,0.0460999773624466,0.0137419067090415,0.0137419067090415
"sawtooth","sawtooth",2000,10,0.1,"DEF.poly2",0.1104,0.00443197111903947,5000,0.0460999773624466,0.0133371661157834,0.0133371661157834
"sawtooth","sawtooth",2000,10,0.01,"DEF.poly3",0.062,0.00341045451516363,5000,0.0460999773624466,0.0136747943311773,0.0136747943311773
"sawtooth","sawtooth",2000,10,0.05,"DEF.poly3",0.166,0.00526201482324024,5000,0.0460999773624466,0.01291046087481,0.01291046087481
"sawtooth","sawtooth",2000,10,0.1,"DEF.poly3",0.2486,0.00611225064931078,5000,0.0460999773624466,0.0122572427568356,0.0122572427568356
"sawtooth","sawtooth",2000,10,0.01,"DEF.stukel",0.1254,0.00468347819467541,5000,0.0460999773624466,0.0132030299552792,0.0132030299552792
"sawtooth","sawtooth",2000,10,0.05,"DEF.stukel",0.2592,0.0061970212199088,5000,0.0460999773624466,0.0121671689394041,0.0121671689394041
"sawtooth","sawtooth",2000,10,0.1,"DEF.stukel",0.3586,0.00678241903748213,5000,0.0460999773624466,0.011327841806805,0.011327841806805
"sawtooth","sawtooth",2000,10,0.01,"EF",0.997,0.000773433901506781,5000,0.0460999773624466,0,0
"sawtooth","sawtooth",2000,10,0.05,"EF",0.9994,0.000346306222872199,5000,0.0460999773624466,0,0
"sawtooth","sawtooth",2000,10,0.1,"EF",0.9998,0.000199979998999889,5000,0.0460999773624466,0,0
"sawtooth","sawtooth",2000,10,0.01,"HL",0.997,0.000773433901506781,5000,0.0460999773624466,0,0
"sawtooth","sawtooth",2000,10,0.05,"HL",0.9994,0.000346306222872199,5000,0.0460999773624466,0,0
"sawtooth","sawtooth",2000,10,0.1,"HL",0.9998,0.000199979998999889,5000,0.0460999773624466,0,0
"sawtooth","sawtooth",2000,10,0.01,"HL-equalwidth",0.9622,0.0026970784193271,5000,0.0460999773624466,0.00281424945589406,0.00281424945589406
"sawtooth","sawtooth",2000,10,0.05,"HL-equalwidth",0.9912,0.00132079975772257,5000,0.0460999773624466,0.00137113092008021,0.00137113092008021
"sawtooth","sawtooth",2000,10,0.1,"HL-equalwidth",0.9952,0.000977441558355284,5000,0.0460999773624466,0.001,0.001
